Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.34091804317383634,1.0235657057033138,-0.5629790191155932,0,
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3243285427008105,1.0234567793482967,-0.5634968847234658,0,
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3034571358957283,1.5538714261275182,-0.6775571047037174,0,
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13092925541941464,-1.293747932817631,0.203119279952695,2,
ETH,Ethash,PoW,107684222.6865,0.0,-0.133582540911041,-2.0246019177972334,0.3012368604072817,2,
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1739242725936208,-1.1097948183215196,-0.03509401969664226,2,
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.3740466077903158,1.2092420731237474,-0.480592215891695,0,
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.12473371486294009,-2.223805629619237,0.3067483814302293,2,
ETC,Ethash,PoW,113359703.0,210000000.0,-0.13203379202475918,-2.0247343769503,0.30120838612928913,2,
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1393952410413142,-1.8751441713203232,0.37650098725916764,2,
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.36780809135966314,1.9128854502223824,0.10275161226553903,0,
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16692944989826894,-1.8163550546282816,0.33728277387797795,2,
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.29675943623989876,0.8395685804350248,-0.32479613238059635,0,
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2735233853684974,0.6534448902496004,0.011645766612182694,0,
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.17506513038095117,-1.109767180628606,-0.03506168001642613,2,
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.2031954793856588,1.917569365921106,-0.6198654975103994,0,
SPR,X11,PoW,11149733.9976203,20000000.0,-0.20840017132004832,-0.9240769652036872,0.04732953866747653,2,
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.17468380756669147,-1.1097931545012274,-0.03506976966444751,2,
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.34057919739793585,1.0235589790590394,-0.562988865141252,0,
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.33318531199511975,1.0237040699386712,-0.5632511425447624,0,
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.08520837843692358,-1.8063749378131775,0.3438008778282574,2,
MOON,Scrypt,PoW,88.0,384000000000.0,2.5304203070956883,-1.3542259148613944,-0.0826794172896988,2,
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.12802770297502744,-1.2938095039397368,0.20303561318401292,2,
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.17195263477635317,-1.109886150866015,-0.035142829376263326,2,
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.17448914514658795,-1.1098171293004033,-0.03507215812262082,2,
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.33942044268112703,1.0235925027743495,-0.5630317213503805,0,
QRK,Quark,PoW,259557164.91477,247000000.0,-0.2186359248093416,-0.44104321771179866,0.0521546198090326,2,
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.17877459604138718,-1.2194371558262351,0.10853599774850721,2,
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.17453693152207525,-1.1097784494776854,-0.03507690090127501,2,
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.340914002762359,1.0235653966712026,-0.562979099336151,0,
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1750474647022545,-1.1097668645310328,-0.03506230169133797,2,
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3408983524444377,1.0235652953467962,-0.5629795881170327,0,
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.17513346623918105,-1.1097624083967914,-0.035060249389335614,2,
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.2084891388176675,-0.924077031685279,0.047332421647864546,2,
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6272995679354313,0.367137359746241,-0.23168325195092523,0,
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3455331185326823,0.9139242368811344,-0.4193567374498959,0,
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.19065553995966045,-1.812540221428833,0.3358969020217353,2,
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.24513948981843683,-1.303019939387038,0.19248519115065593,2,
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.07243147457115263,-1.1156193617729249,-0.04210074057047585,2,
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.17488085916757337,-1.1097638834055357,-0.03506816472569147,2,
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.17050738571681523,-1.1098982683202605,-0.035187517899921826,2,
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.17482055583235503,-1.109771194309711,-0.03506892349996677,2,
EXCL,PoS,PoS,5679705.0,0.0,-0.40459576141658476,1.5569007521009086,-0.021323001449492788,0,
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.3193793211468181,0.3331180298207894,-0.3165263202334312,0,
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.17519022038848442,-1.109761971553344,-0.03505848815725765,2,
